Example_Number,Gatschet&Swanton,Modern_Ortho,Gloss.1,Gloss.2,Gloss.3,Gloss.4,Gloss.5,Gloss.6,Translation,Raw_Block,Gloss.5_Fixed
411,[kakauˊ itaˊns utskaˊucat],kakáw itáns uckáwšat,kakaw itans    uckawš-ø-at,sun  clouds    cover-3SS-PRET,,,kakaw itans    uckawš-ø-at    ,sun  clouds    cover-3SS-PRET    ,‘Clouds covered the sun.’ (1932:53:2),"[kakauˊ itaˊns utskaˊucat]                                           
                                                                                    
          411) kakáw itáns uckáwšat                                                 
                                                                                    
               kakaw itans    uckawš-ø-at                                           
                                                                                    
               sun  clouds    cover-3SS-PRET                                        
                                                                                    
               ‘Clouds covered the sun.’ (1932:53:2)",kakáw itáns    uckáwš-ø-at    
412,[Cok heˊ-u cakwaˊnts uˊxtsăt],šok héw šakwánc úhcat,šok  hew  šak-wanc  ø-uhc-at,Thing many 3PLO-tell 3STATS-be.able-PRET,,,šok  hew  šak-wanc  ø-uhc-at    ,Thing many 3PLO-tell 3STATS-be.able-PRET    ,‘She was able to tell them many things.’ (1932:15:84),"[Cok heˊ-u cakwaˊnts uˊxtsăt]                                        
                                                                                    
          412) šok héw šakwánc úhcat                                                
                                                                                    
                                                                                    
               šok  hew  šak-wanc  ø-uhc-at                                         
                                                                                    
               Thing many 3PLO-tell 3STATS-be.able-PRET                             
                                                                                    
               ‘She was able to tell them many things.’ (1932:15:84)",šok  héw  šak-wánc  ø-úhc-at    
414,,[nē-cilcnăˊn iˊl toˊlka ciˊlcntat],ne·šilšnán íl tólka šílšn̥tat,ne·šilšnan il  tolka šilš-n̥t-at,broom     new  well sweep-CONT-PRET,,ne·šilšnán íl tólka šílšn̥tat    broom     new  well sweep-CONT-PRET,ne·šilšnan il  tolka šilš-n̥t-at    ,‘A new broom always sweeps well.’ (resultative preterite) (1932:112:1),"414) [nē-cilcnăˊn iˊl toˊlka ciˊlcntat]                                   
                                                                                    
               ne·šilšnán íl tólka šílšn̥tat                                        
                                                                                    
               ne·šilšnan il  tolka šilš-n̥t-at                                     
                                                                                    
                                                                                    
               broom     new  well sweep-CONT-PRET                                  
                                                                                    
               ‘A new broom always sweeps well.’ (resultative preterite) (1932:112:1)",ne·šilšnán íl tólka šílšn̥tat    broom     new  well sweep-CONT-PRET
415,[Itiˊ tanuˊk okinuˊlulat haˊ aˊñkin],ití tanúk hokinúlulat ha áŋkin,ití  tanuk hok-inul-ul-at     ha   aŋ-kin,night one RECIP-gather-3PLS-PRET his house-LOC,,,ití  tanuk hok-inul-ul-at     ha   aŋ-kin    ,night one RECIP-gather-3PLS-PRET his house-LOC    ,‘One night they gathered together at his/her house.’ (1932:17:113-14),"[Itiˊ tanuˊk okinuˊlulat haˊ aˊñkin]                                 
                                                                                    
          415) ití tanúk hokinúlulat ha áŋkin                                       
                                                                                    
               ití  tanuk hok-inul-ul-at     ha   aŋ-kin                            
                                                                                    
               night one RECIP-gather-3PLS-PRET his house-LOC                       
                                                                                    
               ‘One night they gathered together at his/her house.’ (1932:17:113-14)",ití  tanúk hok-inúl-ul-at     ha   áŋ-kin    
416,[cukaˊulat itiˊ maˊñ mōn],šoká·kulat ití máŋ mo·n,šoka·k-ul-at        ití  maŋ  mo·n,ceremonial.dance-3PLS-PRET night long all,,,šoka·k-ul-at        ití  maŋ  mo·n    ,ceremonial.dance-3PLS-PRET night long all    ,‘They did ceremonial dancing all night long.’ (1932:17-18:114-15),"[cukaˊulat itiˊ maˊñ mōn]                                            
                                                                                    
          416) šoká·kulat ití máŋ mo·n                                              
                                                                                    
               šoka·k-ul-at        ití  maŋ  mo·n                                   
                                                                                    
               ceremonial.dance-3PLS-PRET night long all                            
                                                                                    
               ‘They did ceremonial dancing all night long.’ (1932:17-18:114-15)",šoká·k-ul-at        ití  máŋ  mo·n    
417,,há·š nómš tanúk ipúc ke,ha-iš     nomš tanuk ipuc ø-ke,s/he-FOC  child one only 3STATS-have,,,ha-iš     nomš tanuk ipuc ø-ke    ,s/he-FOC  child one only 3STATS-have    ,‘He has only one child.’ (1932:49:2),"417) há·š nómš tanúk ipúc ke                                              
                                                                                    
               ha-iš     nomš tanuk ipuc ø-ke                                       
                                                                                    
               s/he-FOC  child one only 3STATS-have                                 
                                                                                    
               ‘He has only one child.’ (1932:49:2)",há-·š     nómš tanúk ipúc ø-ke    
418,{néšh akilî́kš tólka láu háχsh},néš akilíkš tólka láwháhš,neš  akilikš   tolka law-ø-hahš,wood wet       well burn-3SS-NEG,,,neš  akilikš   tolka law-ø-hahš    ,wood wet       well burn-3SS-NEG    ,"‘Wet wood does not burn well.’ (Gatschet, 1885b:83)","{néšh akilî́kš tólka láu háχsh}                                      
                                                                                    
          418) néš akilíkš tólka láwháhš                                            
                                                                                    
               neš  akilikš   tolka law-ø-hahš                                      
                                                                                    
                                                                                    
               wood wet       well burn-3SS-NEG                                     
                                                                                    
               ‘Wet wood does not burn well.’ (Gatschet, 1885b:83)",néš  akilíkš   tólka láw-ø-háhš    
419,[neˊc palpaˊl aˊnkin nûˊn-kētntat],néšpalpaláŋkin núŋke·tn̥tat,"neš-pal,pal-aŋ-kin       nuŋ-ke·t-n̥t-at","wood-,REDUP,flat-house-LOC village-dwell-CONTIN-PRET",,,"neš-pal,pal-aŋ-kin       nuŋ-ke·t-n̥t-at    ","wood-,REDUP,flat-house-LOC village-dwell-CONTIN-PRET    ",‘She lived in the village in a split-plank house.’ (1932:14:74),"[neˊc palpaˊl aˊnkin nûˊn-kētntat]                                   
                                                                                    
          419) néšpalpaláŋkin núŋke·tn̥tat                                          
                                                                                    
               neš-pal,pal-aŋ-kin       nuŋ-ke·t-n̥t-at                             
                                                                                    
                                                                                    
               wood-,REDUP,flat-house-LOC village-dwell-CONTIN-PRET                 
                                                                                    
               ‘She lived in the village in a split-plank house.’ (1932:14:74)","néš-pal,pal-áŋ-kin       núŋ-ke·t-n̥t-at    "
420,[Iˊcāk nīt aˊñlaˊkin cakinaˊ-uculat],iša·k ní·t áŋlá·kkin šakináwšulat,iša·k ni·t aŋla·k-kin šak-inawš-ul-at,man  five jail-LOC  3PLO-put.in-3PLS-PRET,,,iša·k ni·t aŋla·k-kin šak-inawš-ul-at    ,man  five jail-LOC  3PLO-put.in-3PLS-PRET    ,‘They put five men in jail.’ (1932:20:148),"[Iˊcāk nīt aˊñlaˊkin cakinaˊ-uculat]                                 
                                                                                    
          420) iša·k ní·t áŋlá·kkin šakináwšulat                                    
                                                                                    
               iša·k ni·t aŋla·k-kin šak-inawš-ul-at                                
                                                                                    
               man  five jail-LOC  3PLO-put.in-3PLS-PRET                            
                                                                                    
               ‘They put five men in jail.’ (1932:20:148)",iša·k ní·t áŋlá·k-kin šak-ináwš-ul-at    
421,[Yukiˊt nuˊnkin puˊm ichāˊxc a itiyiˊlc],yukít núŋkin púm išháhš á itiyílš,yukit nuŋ-kin  pum       iš-hahš        a    itiyilš,our  village-LOC dance   1PLSTATS-not.have this month,,,yukit nuŋ-kin  pum       iš-hahš        a    itiyilš    ,our  village-LOC dance   1PLSTATS-not.have this month    ,‘We are not having a dance in our village this month.’ (1932:13:53),"[Yukiˊt nuˊnkin puˊm ichāˊxc a itiyiˊlc]                             
                                                                                    
          421) yukít núŋkin púm išháhš á itiyílš                                    
                                                                                    
               yukit nuŋ-kin  pum       iš-hahš        a    itiyilš                 
                                                                                    
               our  village-LOC dance   1PLSTATS-not.have this month                
                                                                                    
               ‘We are not having a dance in our village this month.’ (1932:13:53)",yukít núŋ-kin  púm       iš-háhš        á    itiyílš    
422,[kidsoˊnc wi ukutkaˊ-uc maˊñkin tehoˊp laˊwat],kicóŋš wi okotkáwšmáŋkin tehóp láwat,kicoŋš wi okotkawš-máŋ-kin tehop law-ø-at,fire my   shirt-long-LOC hole burn-3SS-PRET,,,kicoŋš wi okotkawš-máŋ-kin tehop law-ø-at    ,fire my   shirt-long-LOC hole burn-3SS-PRET    ,‘The fire burned a hole in my coat.’ (1932:79:2),"[kidsoˊnc wi ukutkaˊ-uc maˊñkin tehoˊp laˊwat]                       
                                                                                    
          422) kicóŋš wi okotkáwšmáŋkin tehóp láwat                                 
                                                                                    
                                                                                    
               kicoŋš wi okotkawš-máŋ-kin tehop law-ø-at                            
                                                                                    
               fire my   shirt-long-LOC hole burn-3SS-PRET                          
                                                                                    
               ‘The fire burned a hole in my coat.’ (1932:79:2)",kicóŋš wi okotkáwš-máŋ-kin tehóp láw-ø-at    
423,[Yuk’híti icāk wāci a nēp nūn nultíhinst],yukhíti išá·k wáši a né·p nuŋnùltíhin̥st,yukhiti   iša·k     waši a    ne·-ip,Indian    people    old  this land-INESS,nuŋ-nul-tihi-n̥st,village-live- PST.PROG-CUSTOM,yukhiti   iša·k     waši a    ne·-ip    nuŋ-nul-tihi-n̥st,Indian    people    old  this land-INESS    village-live- PST.PROG-CUSTOM,‘The old Indian people customarily used to live in villages in this land.’ (1932:9:1),"[Yuk’híti icāk wāci a nēp nūn nultíhinst]                            
                                                                                    
          423) yukhíti išá·k wáši a né·p nuŋnùltíhin̥st                             
                                                                                    
               yukhiti   iša·k     waši a    ne·-ip                                 
                                                                                    
               Indian    people    old  this land-INESS                             
                                                                                    
               nuŋ-nul-tihi-n̥st                                                    
                                                                                    
                                                                                    
               village-live- PST.PROG-CUSTOM                                        
                                                                                    
               ‘The old Indian people customarily used to live in villages in this land.’ (1932:9:1)",yukhíti   išá·k     wáši a    ne·-ip    nuŋ-nùl-tíhi-n̥st
425,[kaukaˊ-u aˊm’n aˊnike ntaˊhĕntat],kawkáw ámn̥ ánike n̥táhn̥ tat,kawkaw    ø-am-n̥        an-ike    n̥tah-n̥t-at,water     3STATS-drink-WHEN ear-EL come.out-CONTIN-PRET,,,kawkaw    ø-am-n̥        an-ike    n̥tah-n̥t-at    ,water     3STATS-drink-WHEN ear-EL come.out-CONTIN-PRET    ,"‘When he drank water, it kept on coming out of his ears. (1932:10:19-20)","[kaukaˊ-u aˊm’n aˊnike ntaˊhĕntat]                                   
                                                                                    
          425) kawkáw ámn̥ ánike n̥táhn̥ tat                                        
                                                                                    
               kawkaw    ø-am-n̥        an-ike    n̥tah-n̥t-at                      
                                                                                    
               water     3STATS-drink-WHEN ear-EL come.out-CONTIN-PRET              
                                                                                    
                                                                                    
               ‘When he drank water, it kept on coming out of his ears. (1932:10:19-20)",kawkaw    ø-am-n̥        an-ike    n̥tah-n̥t-at    
426,[yā icak akipai-iˊke ōt],ya išá·k akipáyike ók,ya   iša·k     akipay-ike ok-ø,that person    south-EL  come-3SS,,,ya   iša·k     akipay-ike ok-ø    ,that person    south-EL  come-3SS    ,‘That man comes from the south.’ (1932:24:1),"[yā icak akipai-iˊke ōt]                                             
                                                                                    
          426) ya išá·k akipáyike ók                                                
                                                                                    
               ya   iša·k     akipay-ike ok-ø                                       
                                                                                    
               that person    south-EL  come-3SS                                    
                                                                                    
               ‘That man comes from the south.’ (1932:24:1)",ya   išá·k     akipáy-ike ók-ø    
428,[Yuk’hiˊt itēˊt peˊl (Cyprien) icaˊk toˊkat yukiˊt noˊmc oˊt],yukít ité·tpél <Cyprien> iša·k tólat yukít nómšot,yukit ite·t-pel <Cyprien> iša·k ø-tol-at     yukit nomš-ot,our  father-far PN       person 3STATS-good-PRET we child-DIR,,,yukit ite·t-pel <Cyprien> iša·k ø-tol-at     yukit nomš-ot    ,our  father-far PN       person 3STATS-good-PRET we child-DIR    ,‘Our step-father Cyprien was a good man to us children.’ (1932:16:101-02),"[Yuk’hiˊt itēˊt peˊl (Cyprien) icaˊk toˊkat yukiˊt noˊmc oˊt]        
                                                                                    
          428) yukít ité·tpél <Cyprien> iša·k tólat yukít nómšot                    
                                                                                    
               yukit ite·t-pel <Cyprien> iša·k ø-tol-at     yukit nomš-ot           
                                                                                    
               our  father-far PN       person 3STATS-good-PRET we child-DIR        
                                                                                    
                                                                                    
               ‘Our step-father Cyprien was a good man to us children.’ (1932:16:101-02)",yukít ité·t-pél <Cyprien> iša·k ø-tól-at     yukít nómš-ot    
429,[haˊ ot miˊcat],háot míšat,ha-ot     ø-miš-ø-at,he-DIR    3SO-give-3SS-PRET,,,ha-ot     ø-miš-ø-at    ,he-DIR    3SO-give-3SS-PRET    ,‘He gave it to him’ (1932:32:1),"[haˊ ot miˊcat]                                                      
                                                                                    
          429) háot míšat                                                           
                                                                                    
               ha-ot     ø-miš-ø-at                                                 
                                                                                    
               he-DIR    3SO-give-3SS-PRET                                          
                                                                                    
               ‘He gave it to him’ (1932:32:1)",há-ot     ø-míš-ø-at    
430,[Yukiˊti mōˊne oˊk-inuˊlulat imōˊc oˊt tiˊune],yukhíti mó·ni hokinúlulat himó·šot tíwne,yukhiti   mo·ni     hok-inul-ul-at      himo·š-ot tiw-ne,Indian    all(human) RECIP-gather-3PLS-PRET burial-DIR go(pl)-GER,,,yukhiti   mo·ni     hok-inul-ul-at      himo·š-ot tiw-ne    ,Indian    all(human) RECIP-gather-3PLS-PRET burial-DIR go(pl)-GER    ,‘All the Indians gathered together to go to the burial.’ (1932:18:125-26),"[Yukiˊti mōˊne oˊk-inuˊlulat imōˊc oˊt tiˊune]                       
                                                                                    
          430) yukhíti mó·ni hokinúlulat himó·šot tíwne                             
                                                                                    
               yukhiti   mo·ni     hok-inul-ul-at      himo·š-ot tiw-ne             
                                                                                    
                                                                                    
               Indian    all(human) RECIP-gather-3PLS-PRET burial-DIR go(pl)-GER    
                                                                                    
               ‘All the Indians gathered together to go to the burial.’ (1932:18:125-26)",yukhíti   mó·ni     hok-inúl-ul-at      himó·š-ot tíw-ne    
431,[yukiˊti nuˊnkin kēˊt’ntat Yuk’hiˊti Tuˊl toˊlpot inoˊ],yukhíti núŋkin ké·tn̥tat yukhíti túl tólpot inó,yukhiti nuŋ-kin ke·t-n̥t-at   yukhiti   tul  tolpot ino,Indian village-LOC dwell-CONTIN-PRET Indian lake east side,,,yukhiti nuŋ-kin ke·t-n̥t-at   yukhiti   tul  tolpot ino    ,Indian village-LOC dwell-CONTIN-PRET Indian lake east side    ,‘She used to live in an Indian village on the east side of Lake Prien (Indian Lake).’ (1932:14:71),"[yukiˊti nuˊnkin kēˊt’ntat Yuk’hiˊti Tuˊl toˊlpot inoˊ]              
                                                                                    
          431) yukhíti núŋkin ké·tn̥tat yukhíti túl tólpot inó                      
                                                                                    
               yukhiti nuŋ-kin ke·t-n̥t-at   yukhiti   tul  tolpot ino              
                                                                                    
               Indian village-LOC dwell-CONTIN-PRET Indian lake east side           
                                                                                    
               ‘She used to live in an Indian village on the east side of Lake Prien (Indian Lake).’
                                                                                    
                                                                                    
               (1932:14:71)",yukhíti núŋ-kin ké·t-n̥t-at   yukhíti   túl  tólpot inó    
432,[neˊc palpaˊl aˊnkin nûˊn-kētntat],néšpalpaláŋkin nuŋkè·tn̥tat,"neš-pal,pal-aŋ-kin       nuŋ-ke·t-n̥t-at","wood-,REDUP,flat-house-LOC village-dwell-CONTIN-PRET",,,"neš-pal,pal-aŋ-kin       nuŋ-ke·t-n̥t-at    ","wood-,REDUP,flat-house-LOC village-dwell-CONTIN-PRET    ",‘She lived in the village in a split-plank house.’ (1932:14:74),"[neˊc palpaˊl aˊnkin nûˊn-kētntat]                                   
                                                                                    
          432) néšpalpaláŋkin nuŋkè·tn̥tat                                          
                                                                                    
               neš-pal,pal-aŋ-kin       nuŋ-ke·t-n̥t-at                             
                                                                                    
               wood-,REDUP,flat-house-LOC village-dwell-CONTIN-PRET                 
                                                                                    
               ‘She lived in the village in a split-plank house.’ (1932:14:74)","néš-pal,pal-áŋ-kin       nuŋ-kè·t-n̥t-at    "
433,[Yuk’hiˊti icāk wāci a nēp nūn nultiˊhinst],yukhíti iša·k wáši a né·p nuŋnúltíhin̥st,yukhiti   iša·k     waši a    ne·-ip,Indian    people    old  this land-INESS,nuŋ-nul-tihi-n̥st,village-live- PST.PROG-CUSTOM,yukhiti   iša·k     waši a    ne·-ip    nuŋ-nul-tihi-n̥st,Indian    people    old  this land-INESS    village-live- PST.PROG-CUSTOM,‘The old Indian people customarily used to live in villages in this land.’ (1932:9:1),"[Yuk’hiˊti icāk wāci a nēp nūn nultiˊhinst]                          
                                                                                    
          433) yukhíti iša·k wáši a né·p nuŋnúltíhin̥st                             
                                                                                    
               yukhiti   iša·k     waši a    ne·-ip                                 
                                                                                    
                                                                                    
               Indian    people    old  this land-INESS                             
                                                                                    
               nuŋ-nul-tihi-n̥st                                                    
                                                                                    
               village-live- PST.PROG-CUSTOM                                        
                                                                                    
               ‘The old Indian people customarily used to live in villages in this land.’ (1932:9:1)",yukhíti   iša·k     wáši a    ne·-ip    nuŋ-núl-tíhi-n̥st
435,[icāk tuˊkēt],išá·k tuké·t,iša·k tu-ke·t-ø,,,,iša·k tu-ke·t-ø    ,    ,man  boat-sit(sg)-3SS (1932:61:2),"[icāk tuˊkēt]                                                        
                                                                                    
          435) išá·k tuké·t                                                         
                                                                                    
               iša·k tu-ke·t-ø                                                      
                                                                                    
               man  boat-sit(sg)-3SS (1932:61:2)",išá·k tu-ké·t-ø    
436,{há án nēp},ha áŋ né·p,ha     aŋ      ø-ne·p,his/her house  3STATS-be.low,,,ha     aŋ      ø-ne·p    ,his/her house  3STATS-be.low    ,"‘His/her house is low.’ (Gatschet, 1885b:6)","{há án nēp}                                                          
                                                                                    
          436) ha áŋ né·p                                                           
                                                                                    
               ha     aŋ      ø-ne·p                                                
                                                                                    
               his/her house  3STATS-be.low                                         
                                                                                    
               ‘His/her house is low.’ (Gatschet, 1885b:6)",ha     áŋ      ø-né·p    
437,{yukít ángsh nēp},yukít áŋš né·p,yukit  aŋ-š         ø-ne·p,our    house-FOC    3STATS-be.low,,,yukit  aŋ-š         ø-ne·p    ,our    house-FOC    3STATS-be.low    ,"‘Our house is low.’ (Gatschet, 1885b:6)","{yukít ángsh nēp}                                                    
                                                                                    
          437) yukít áŋš né·p                                                       
                                                                                    
               yukit  aŋ-š         ø-ne·p                                           
                                                                                    
               our    house-FOC    3STATS-be.low                                    
                                                                                    
               ‘Our house is low.’ (Gatschet, 1885b:6)",yukít  áŋ-š         ø-né·p    
439,{a-ití-ish hiwáleshta},á itíiš hiwálšta,a    ití-iš    hiwalš-ta,this night-FOC dream-PCPL,,,a    ití-iš    hiwalš-ta    ,this night-FOC dream-PCPL    ,"‘I am to dream tonight.’ (Gatschet, 1885b:10)","{a-ití-ish hiwáleshta}                                               
                                                                                    
          439) á itíiš hiwálšta                                                     
                                                                                    
               a    ití-iš    hiwalš-ta                                             
                                                                                    
               this night-FOC dream-PCPL                                            
                                                                                    
                                                                                    
               ‘I am to dream tonight.’ (Gatschet, 1885b:10)",á    ití-iš    hiwálš-ta    
440,{hilḗmsh},hilé·mš,hi-ø-le·mš          hi-ø-le·mš,1SO-3STATS-love     1SSTATS-3SO-love,,,hi-ø-le·mš          hi-ø-le·mš    ,1SO-3STATS-love     1SSTATS-3SO-love    ,"‘He loves me.’      ‘I love him.’ (Gatschet, 1885b:58)","{hilḗmsh}                                                           
                                                                                    
                                                                                    
          440) hilé·mš                                                              
                                                                                    
               hi-ø-le·mš          hi-ø-le·mš                                       
                                                                                    
               1SO-3STATS-love     1SSTATS-3SO-love                                 
                                                                                    
               ‘He loves me.’      ‘I love him.’ (Gatschet, 1885b:58)",hi-ø-le·mš          hi-ø-le·mš    
442,[Atsiˊc-kic haˊ waˊnat],"“hihaccíškišháh,” wánat",hi-hat-ciškiš-hah        wan-ø-at,1SSTATS-REFLEX-be.pleased-NEG say-3SS-PRET,,,hi-hat-ciškiš-hah        wan-ø-at    ,1SSTATS-REFLEX-be.pleased-NEG say-3SS-PRET    ,"‘“I am not pleased,” she said.’ (1932:20:143)","[Atsiˊc-kic haˊ waˊnat]                                              
                                                                                    
                                                                                    
          442) “hihaccíškišháh,” wánat                                              
                                                                                    
               hi-hat-ciškiš-hah        wan-ø-at                                    
                                                                                    
               1SSTATS-REFLEX-be.pleased-NEG say-3SS-PRET                           
                                                                                    
               ‘“I am not pleased,” she said.’ (1932:20:143)",hi-hat-ciškiš-hah        wán-ø-at    
443,[wic ivīˊv há coˊx̥ ’nwaˊnkit],wí·š hiwíwhah šokn̥wánkit,wi·š hi-wiw-hah          šok-n̥ -wan-kit,I-FOC 1SSTAT-believe-NEG STH-2SSTATS-say-PROG,,,wi·š hi-wiw-hah          šok-n̥ -wan-kit    ,I-FOC 1SSTAT-believe-NEG STH-2SSTATS-say-PROG    ,‘I do not believe anything you are saying.’ (1932:34:2),"[wic ivīˊv há coˊx̥ ’nwaˊnkit]                                       
                                                                                    
          443) wí·š hiwíwhah šokn̥wánkit                                            
                                                                                    
               wi·š hi-wiw-hah          šok-n̥ -wan-kit                             
                                                                                    
               I-FOC 1SSTAT-believe-NEG STH-2SSTATS-say-PROG                        
                                                                                    
               ‘I do not believe anything you are saying.’ (1932:34:2)",wi·š hi-wiw-hah          šok-n̥ -wan-kit    
446,[paknaˊ-u wan năn hioˊñc],paknáwwáŋne nhióŋš,paknaw-waŋ-ne  n-hi-oŋš,run-go.about-GER 2SO-1SSTATS-not.to.want,,,paknaw-waŋ-ne  n-hi-oŋš    ,run-go.about-GER 2SO-1SSTATS-not.to.want    ,‘I don’t want you to go running about.’ (1932:101:2),"[paknaˊ-u wan năn hioˊñc]                                            
                                                                                    
          446) paknáwwáŋne nhióŋš                                                   
                                                                                    
               paknaw-waŋ-ne  n-hi-oŋš                                              
                                                                                    
               run-go.about-GER 2SO-1SSTATS-not.to.want                             
                                                                                    
                                                                                    
               ‘I don’t want you to go running about.’ (1932:101:2)",paknáw-wáŋ-ne  n-hi-óŋš    
447,[Kēˊtne naˊmtsel tiˊc hāˊxcne],ké·tne námcel tišhahšne,ke·t-ne   nam-cel   tiš-hahš-ne,stay-GER  beg-1PLS  go(sg)-NEG-GER,,,ke·t-ne   nam-cel   tiš-hahš-ne    ,stay-GER  beg-1PLS  go(sg)-NEG-GER    ,‘We begged her to stay and not to go.’ (1932:17:110-111),"[Kēˊtne naˊmtsel tiˊc hāˊxcne]                                       
                                                                                    
          447) ké·tne námcel tišhahšne                                              
                                                                                    
               ke·t-ne   nam-cel   tiš-hahš-ne                                      
                                                                                    
               stay-GER  beg-1PLS  go(sg)-NEG-GER                                   
                                                                                    
               ‘We begged her to stay and not to go.’ (1932:17:110-111)",ké·t-ne   nám-cel   tiš-hahš-ne    
448,[haˊ Yuk’hiˊti ēñ Konāˊc],ha yukhíti é·ŋ koná·š,ha   yukhiti   e·ŋ  kona·š,his  Indian    name PN,,,ha   yukhiti   e·ŋ  kona·š    ,his  Indian    name PN    ,‘His Indian name is Kona·š.’ (1932:15:82-83),"[haˊ Yuk’hiˊti ēñ Konāˊc]                                            
                                                                                    
          448) ha yukhíti é·ŋ koná·š                                                
                                                                                    
               ha   yukhiti   e·ŋ  kona·š                                           
                                                                                    
               his  Indian    name PN                                               
                                                                                    
               ‘His Indian name is Kona·š.’ (1932:15:82-83)",ha   yukhíti   é·ŋ  koná·š    
451,[cikoˊm ‘n canuˊk haˊxcĕt],šikómn̥ canúk háhšat,šikom=n̥  canuk     ø-hahš-at,cow=and   horse     3STATS-not.have-PRET,,,šikom=n̥  canuk     ø-hahš-at    ,cow=and   horse     3STATS-not.have-PRET    ,‘She did not have cows or horses.’ (1932:15:80),"[cikoˊm ‘n canuˊk haˊxcĕt]                                           
                                                                                    
          451) šikómn̥ canúk háhšat                                                 
                                                                                    
               šikom=n̥  canuk     ø-hahš-at                                        
                                                                                    
               cow=and   horse     3STATS-not.have-PRET                             
                                                                                    
                                                                                    
               ‘She did not have cows or horses.’ (1932:15:80)",šikóm=n̥  canúk     ø-háhš-at    
452,[ickiciˊl ēñ Louison Yuk’hiˊti ēñ Yoyoˊt ‘n Kic Yuˊts],iškišíl é·ŋ <Louison> yukhíti é·ŋ yoyótn̥ kišyúc,iškišíl   é·ŋ  <Louison> yukhíti   é·ŋ  yoyót=n̥  kišyúc,daughter  name PN        Indian    name PN=and    PN,,,iškišíl   é·ŋ  <Louison> yukhíti   é·ŋ  yoyót=n̥  kišyúc    ,daughter  name PN        Indian    name PN=and    PN    ,‘Her daughter’s name is Louison; her Indian names are Yoyót and Kišyúts.’ (1932:15:83-84),"[ickiciˊl ēñ Louison Yuk’hiˊti ēñ Yoyoˊt ‘n Kic Yuˊts]               
                                                                                    
          452) iškišíl é·ŋ <Louison> yukhíti é·ŋ yoyótn̥ kišyúc                     
                                                                                    
               iškišíl   é·ŋ  <Louison> yukhíti   é·ŋ  yoyót=n̥  kišyúc             
                                                                                    
               daughter  name PN        Indian    name PN=and    PN                 
                                                                                    
               ‘Her daughter’s name is Louison; her Indian names are Yoyót and Kišyúts.’
                                                                                    
               (1932:15:83-84)",iškišíl   é·ŋ  <Louison> yukhíti   é·ŋ  yoyót=n̥  kišyúc    
453,{nē n’itans’n icāk’n mōni},né·n̥ itánšn̥ išá·kn̥ mó·ni,ne·=n̥    itanš=n̥       iša·k=n̥  mo·ni,earth=and sky/cloud=and  person=and all(animate),,,ne·=n̥    itanš=n̥       iša·k=n̥  mo·ni    ,earth=and sky/cloud=and  person=and all(animate)    ,"‘The earth and sky and people and all living things.’ (Gatschet, 1885b:87)","{nē n’itans’n icāk’n mōni}                                           
                                                                                    
          453) né·n̥ itánšn̥ išá·kn̥ mó·ni                                          
                                                                                    
               ne·=n̥    itanš=n̥       iša·k=n̥  mo·ni                             
                                                                                    
               earth=and sky/cloud=and  person=and all(animate)                     
                                                                                    
               ‘The earth and sky and people and all living things.’ (Gatschet, 1885b:87)",né·=n̥    itánš=n̥       išá·k=n̥  mó·ni    
454,[Kaˊ-u oˊkin toˊkc ya imōˊculat],káw ókkin tókšya himó·šulat,kaw       ok-kin    tokš=ya        himo·š-ul-at,dead.person cloth-LOC wrap=and     bury-3PLS-PRET,,,kaw       ok-kin    tokš=ya        himo·š-ul-at    ,dead.person cloth-LOC wrap=and     bury-3PLS-PRET    ,‘They wrapped the dead person in cloth and buried him/her.’ (1932:18:126),"[Kaˊ-u oˊkin toˊkc ya imōˊculat]                                     
                                                                                    
          454) káw ókkin tókšya himó·šulat                                          
                                                                                    
               kaw       ok-kin    tokš=ya        himo·š-ul-at                      
                                                                                    
               dead.person cloth-LOC wrap=and     bury-3PLS-PRET                    
                                                                                    
               ‘They wrapped the dead person in cloth and buried him/her.’ (1932:18:126)",káw       ók-kin    tókš=ya        himó·š-ul-at    
455,[Imōˊc mak māˊñ kaˊ ya hoˊxp naˊ-ulat coˊ itaˊxne],himo·šmak máŋ káya hóp náwulat šó hitáhne,himo·š-mak maŋ ka=ya     hop  naw-ul-at      šo,grave-mound long make=and hole leave-3PLS-PRET soul,hitah-ne,come-out-GER,himo·š-mak maŋ ka=ya     hop  naw-ul-at      šo    hitah-ne,grave-mound long make=and hole leave-3PLS-PRET soul    come-out-GER,"‘They made a long grave-mound, and left a hole for the soul to come out.’ (1932:19:139- 140)","[Imōˊc mak māˊñ kaˊ ya hoˊxp naˊ-ulat coˊ itaˊxne]                   
                                                                                    
          455) himo·šmak máŋ káya hóp náwulat šó hitáhne                            
                                                                                    
               himo·š-mak maŋ ka=ya     hop  naw-ul-at      šo                      
                                                                                    
               grave-mound long make=and hole leave-3PLS-PRET soul                  
                                                                                    
                                                                                    
               hitah-ne                                                             
                                                                                    
               come-out-GER                                                         
                                                                                    
               ‘They made a long grave-mound, and left a hole for the soul to come out.’ (1932:19:139-
                                                                                    
               140)",himo·š-mak máŋ ká=ya     hóp  náw-ul-at      šó    hitáh-ne
